日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,当地3連対率,モーター2連対率
2026-07-23,多摩川,第1R,2号艇,3930 / A2 岸本 隆 岡山/岡山 50歳/54.5kg,31.71,53.66,-,54.5
2026-07-23,多摩川,第1R,1号艇,3712 / B1 淺香 文武 三重/三重 51歳/54.9kg,32.81,54.69,-,54.9
2026-07-23,多摩川,第1R,4号艇,3458 / B1 東 健介 岡山/熊本 59歳/54.5kg,35.56,48.89,-,54.5
2026-07-23,多摩川,第2R,1号艇,3226 / B1 浦田 信義 東京/東京 60歳/52.0kg,32.79,50.82,-,52.0
2026-07-23,多摩川,第2R,2号艇,5125 / A2 高井 雄基 愛知/愛知 30歳/52.3kg,23.44,54.69,-,52.3
2026-07-23,多摩川,第2R,5号艇,3406 / B1 中里 英夫 群馬/栃木 57歳/52.9kg,32.35,55.88,-,52.9
2026-07-23,多摩川,第2R,3号艇,3075 / B1 中村 裕将 埼玉/埼玉 63歳/55.8kg,28.33,45.00,-,55.8
2026-07-23,多摩川,第3R,5号艇,4520 / A2 高倉 孝太 福井/石川 39歳/51.0kg,33.33,53.03,-,51.0
2026-07-23,多摩川,第3R,3号艇,4557 / B1 松尾 光広 岡山/岡山 36歳/56.4kg,53.85,66.15,-,56.4
2026-07-23,多摩川,第3R,2号艇,5425 / B2 西山 育 三重/三重 24歳/56.8kg,29.03,54.84,-,56.8
2026-07-23,多摩川,第3R,4号艇,3748 / B1 小黒 竜吾 埼玉/埼玉 51歳/55.8kg,24.59,44.26,-,55.8
2026-07-23,多摩川,第4R,2号艇,3957 / B1 大谷 直弘 愛知/愛知 49歳/52.9kg,33.33,43.94,-,52.9
2026-07-23,多摩川,第4R,6号艇,4377 / A1 濱本 優一 大阪/大阪 42歳/50.0kg,43.28,55.22,-,50.0
2026-07-23,多摩川,第4R,4号艇,4199 / A1 北川 潤二 愛知/愛知 44歳/56.6kg,33.85,50.77,-,56.6
2026-07-23,多摩川,第5R,4号艇,3619 / B1 長谷川 充 群馬/群馬 52歳/52.0kg,27.42,41.94,-,52.0
2026-07-23,多摩川,第5R,1号艇,4550 / A2 石岡 将太 群馬/群馬 37歳/54.3kg,30.00,45.00,-,54.3
2026-07-23,多摩川,第5R,5号艇,3517 / B1 高橋 勲 東京/神奈川 58歳/53.3kg,29.69,48.44,-,53.3
2026-07-23,多摩川,第6R,3号艇,3712 / B1 淺香 文武 三重/三重 51歳/54.9kg,32.81,54.69,-,54.9
2026-07-23,多摩川,第6R,1号艇,5085 / A2 中村 栄治 福井/福井 27歳/51.0kg,28.36,44.78,-,51.0
2026-07-23,多摩川,第6R,6号艇,3072 / B1 西田 靖 東京/神奈川 64歳/52.0kg,36.07,49.18,-,52.0
2026-07-23,多摩川,第7R,2号艇,4813 / B1 宮内 直哉 東京/東京 36歳/52.0kg,19.64,58.93,-,52.0
2026-07-23,多摩川,第7R,1号艇,3807 / B1 岡部 哲 埼玉/埼玉 51歳/51.0kg,40.63,50.00,-,51.0
2026-07-23,多摩川,第7R,6号艇,3930 / A2 岸本 隆 岡山/岡山 50歳/54.5kg,31.71,53.66,-,54.5
2026-07-23,多摩川,第7R,4号艇,5425 / B2 西山 育 三重/三重 24歳/56.8kg,29.03,54.84,-,56.8
2026-07-23,多摩川,第8R,2号艇,5197 / B2 中野 仁照 愛知/愛知 24歳/53.2kg,30.51,44.07,-,53.2
2026-07-23,多摩川,第8R,4号艇,3075 / B1 中村 裕将 埼玉/埼玉 63歳/55.8kg,28.33,45.00,-,55.8
2026-07-23,多摩川,第8R,5号艇,3935 / B1 岩津 徹郎 岡山/岡山 48歳/53.4kg,34.78,46.38,-,53.4
2026-07-23,多摩川,第9R,4号艇,5316 / B1 村松 将平 静岡/静岡 25歳/52.0kg,34.78,54.35,-,52.0
2026-07-23,多摩川,第9R,1号艇,3406 / B1 中里 英夫 群馬/栃木 57歳/52.9kg,32.35,55.88,-,52.9
2026-07-23,多摩川,第9R,5号艇,3868 / B1 尾形 栄治 東京/東京 50歳/52.3kg,19.67,37.70,-,52.3
